YEAR,STATE,zipcode,AGI_STUB,N1
2012,NY,10001,1,4080.0000
2012,NY,10001,2,2520.0000
2012,NY,10001,3,1790.0000
2012,NY,10001,4,1230.0000
2012,NY,10001,5,2030.0000
2012,NY,10001,6,1650.0000
2012,NY,10002,1,24980.0000
2012,NY,10002,2,8280.0000
2012,NY,10002,3,4160.0000
2012,NY,10002,4,2260.0000
2012,NY,10002,5,2590.0000
2012,NY,10002,6,1190.0000
2012,NY,10003,1,6080.0000
2012,NY,10003,2,4850.0000
2012,NY,10003,3,4450.0000
2012,NY,10003,4,3160.0000
2012,NY,10003,5,5680.0000
2012,NY,10003,6,5140.0000
2012,NY,10004,1,340.0000
2012,NY,10004,2,300.0000
2012,NY,10004,3,300.0000
2012,NY,10004,4,210.0000
2012,NY,10004,5,490.0000
2012,NY,10004,6,780.0000
2012,NY,10005,1,780.0000
2012,NY,10005,2,820.0000
2012,NY,10005,3,790.0000
2012,NY,10005,4,560.0000
2012,NY,10005,5,1170.0000
2012,NY,10005,6,1460.0000
2012,NY,10006,1,360.0000
2012,NY,10006,2,380.0000
2012,NY,10006,3,290.0000
2012,NY,10006,4,260.0000
2012,NY,10006,5,590.0000
2012,NY,10006,6,430.0000
2012,NY,10007,1,520.0000
2012,NY,10007,2,320.0000
2012,NY,10007,3,270.0000
2012,NY,10007,4,210.0000
2012,NY,10007,5,640.0000
2012,NY,10007,6,1480.0000
2012,NY,10009,1,10790.0000
2012,NY,10009,2,7360.0000
2012,NY,10009,3,5320.0000
2012,NY,10009,4,3020.0000
2012,NY,10009,5,3930.0000
2012,NY,10009,6,1500.0000
2012,NY,10010,1,3070.0000
2012,NY,10010,2,2770.0000
2012,NY,10010,3,2610.0000
2012,NY,10010,4,1950.0000
2012,NY,10010,5,3550.0000
2012,NY,10010,6,3260.0000
2012,NY,10011,1,6150.0000
2012,NY,10011,2,4610.0000
2012,NY,10011,3,4120.0000
2012,NY,10011,4,3250.0000
2012,NY,10011,5,6410.0000
2012,NY,10011,6,6150.0000
2012,NY,10012,1,3000.0000
2012,NY,10012,2,2190.0000
2012,NY,10012,3,1900.0000
2012,NY,10012,4,1310.0000
2012,NY,10012,5,2390.0000
2012,NY,10012,6,2130.0000
2012,NY,10013,1,5610.0000
2012,NY,10013,2,2210.0000
2012,NY,10013,3,1460.0000
2012,NY,10013,4,1000.0000
2012,NY,10013,5,1830.0000
2012,NY,10013,6,3230.0000
2012,NY,10014,1,3480.0000
2012,NY,10014,2,2810.0000
2012,NY,10014,3,2650.0000
2012,NY,10014,4,2140.0000
2012,NY,10014,5,4240.0000
2012,NY,10014,6,3850.0000
2012,NY,10016,1,5820.0000
2012,NY,10016,2,5360.0000
2012,NY,10016,3,5050.0000
2012,NY,10016,4,3480.0000
2012,NY,10016,5,6090.0000
2012,NY,10016,6,5220.0000
2012,NY,10017,1,2120.0000
2012,NY,10017,2,1600.0000
2012,NY,10017,3,1560.0000
2012,NY,10017,4,1250.0000
2012,NY,10017,5,2380.0000
2012,NY,10017,6,2730.0000
2012,NY,10018,1,1610.0000
2012,NY,10018,2,1140.0000
2012,NY,10018,3,740.0000
2012,NY,10018,4,550.0000
2012,NY,10018,5,1000.0000
2012,NY,10018,6,1030.0000
2012,NY,10019,1,5530.0000
2012,NY,10019,2,4170.0000
2012,NY,10019,3,3490.0000
2012,NY,10019,4,2480.0000
2012,NY,10019,5,4730.0000
2012,NY,10019,6,4110.0000
2012,NY,10021,1,4090.0000
2012,NY,10021,2,3280.0000
2012,NY,10021,3,3310.0000
2012,NY,10021,4,2460.0000
2012,NY,10021,5,4630.0000
2012,NY,10021,6,6260.0000
2012,NY,10022,1,3150.0000
2012,NY,10022,2,2510.0000
2012,NY,10022,3,2490.0000
2012,NY,10022,4,1990.0000
2012,NY,10022,5,4050.0000
2012,NY,10022,6,5520.0000
2012,NY,10023,1,6650.0000
2012,NY,10023,2,4460.0000
2012,NY,10023,3,4150.0000
2012,NY,10023,4,3300.0000
2012,NY,10023,5,7090.0000
2012,NY,10023,6,8460.0000
2012,NY,10024,1,6680.0000
2012,NY,10024,2,4410.0000
2012,NY,10024,3,3800.0000
2012,NY,10024,4,2940.0000
2012,NY,10024,5,5660.0000
2012,NY,10024,6,7380.0000
2012,NY,10025,1,14280.0000
2012,NY,10025,2,8920.0000
