ZipCode,Age_all,Age_under5,Age_5to9,Age_10to14,Age_15to19,Age_20to24,Age_25to29,Age_30to34,Age_35to39,Age_40to44,Age_45to49,Age_50to54,Age_55to59,Age_60to64,Age_65to69,Age_70to74,Age_75to79,Age_80to84,Age_over84,Gender_Male,Gender_Female,Ethnicity_White,Ethnicity_AfricanAmerican,Ethnicity_NativeAmerican,Ethnicity_Asian,Ethnicity_PacificIslander,Ethnicity_Other,Ethnicity_All_HispancLatino_Descent
06390,236,6,9,16,11,7,7,7,13,20,27,22,29,19,20,6,6,8,3,118,118,231,2,1,2,0,4,2
10001,21102,624,458,488,1376,2632,2741,2095,1636,1464,1401,1305,1208,1047,794,573,468,363,429,10184,10918,14351,2227,191,3843,36,1315,3648
10002,81410,3620,3663,3660,4098,6349,7458,6498,5711,5367,5483,5565,5327,4762,3243,3223,2815,2250,2318,38570,42840,27453,7851,876,38893,172,9176,20619
10003,56024,1405,902,737,5982,7969,8235,6251,4309,3277,2919,2834,2878,2707,1841,1328,962,725,763,26750,29274,44362,2430,329,9180,103,1569,4489
10004,3089,202,101,54,59,318,567,508,368,281,169,144,122,96,50,25,12,8,5,1610,1479,2264,131,15,732,4,63,189
10005,7135,251,84,50,79,1394,2090,1333,720,414,286,156,141,76,38,10,3,5,5,3443,3692,5210,319,32,1616,15,199,530
10006,3011,83,27,39,30,592,846,551,357,165,107,85,61,44,12,8,1,3,0,1519,1492,2165,167,20,648,6,109,248
10007,6988,647,327,153,120,435,799,1186,1106,768,484,328,267,181,93,40,27,14,13,3958,3030,5508,527,25,1069,14,122,711
10009,61347,2095,1905,2076,2468,7482,8969,5741,4162,3919,4060,3924,3717,3060,2328,1836,1303,1057,1245,28433,32914,40055,7037,802,9304,152,6875,15977
10010,31834,1041,645,507,1568,4341,5242,3605,2440,1907,1672,1629,1551,1662,1261,872,664,507,720,14755,17079,24326,2212,194,5154,59,995,3015
10011,50984,1804,1173,878,1882,3227,6267,6298,4814,4498,4125,3613,3140,2948,2209,1444,1075,844,745,25998,24986,42257,2854,383,5295,72,1862,5851
10012,24090,811,545,459,564,2753,4286,2848,2098,1558,1368,1279,1356,1291,943,696,541,339,355,11840,12250,18870,802,128,4394,37,663,1921
10013,27700,1553,1182,886,929,2583,2850,2615,2442,2201,1915,1777,1772,1606,951,742,613,588,495,13951,13749,16023,1166,121,10519,38,599,1485
10014,31959,1047,776,519,572,2301,5000,4384,3083,2478,2273,1992,1931,1760,1394,870,666,518,395,15631,16328,28880,906,205,2379,39,506,2030
10016,54183,1746,940,703,896,7829,10928,6564,4407,3196,2856,2638,2689,2618,1897,1497,1133,849,797,24814,29369,41546,2526,240,9793,87,1407,4394
10017,16575,506,249,200,170,1456,2714,2087,1408,1115,1014,1039,1066,1088,843,612,388,332,288,7485,9090,12817,641,40,3200,15,267,1078
10018,5229,122,97,84,136,717,1026,643,559,444,366,268,248,174,142,91,64,30,18,2795,2434,3095,462,58,1418,10,371,945
10019,42870,1536,759,682,866,3568,6531,5773,4036,3266,2791,2513,2414,2259,1794,1391,1109,822,760,21379,21491,30902,2792,321,7864,83,2502,6715
10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,43631,2318,1549,1182,840,2050,5120,4826,3406,2893,2506,2559,2529,2957,2543,1990,1674,1318,1371,18894,24737,39069,977,137,3665,45,563,2345
10022,31924,1227,765,532,809,1611,3524,2991,2382,1978,1945,1985,2239,2489,2189,1733,1419,1122,984,14487,17437,28038,701,76,3202,43,411,1729
10023,60998,3313,2009,1606,2146,3234,5875,6412,5341,4602,4012,3917,3864,3955,3346,2339,1842,1604,1581,27578,33420,50981,3232,307,6291,61,1661,5107
10024,59283,3505,2584,2106,1712,2583,5329,5290,4828,4709,4238,4082,4189,4174,3298,2178,1718,1345,1415,27436,31847,50520,3902,381,4044,91,2107,6329
10025,94600,4458,3646,3472,4056,9110,9309,7390,6636,6338,6346,6544,6396,5862,4697,3362,2638,2024,2316,43291,51309,64564,15375,1191,9190,192,8728,21010
10026,34003,2012,1938,1923,2080,2688,3278,2973,2839,2890,2635,2412,1794,1385,1017,808,534,430,367,15877,18126,8433,21136,726,1808,122,3734,7654
