customerID,StreamingTV,StreamingMovies
7590-VHVEG,No,No
5575-GNVDE,No,No
3668-QPYBK,No,No
7795-CFOCW,No,No
9237-HQITU,No,No
9305-CDSKC,Yes,Yes
1452-KIOVK,Yes,No
6713-OKOMC,No,No
7892-POOKP,Yes,Yes
6388-TABGU,No,No
9763-GRSKD,No,No
7469-LKBCI,No internet service,No internet service
8091-TTVAX,Yes,Yes
0280-XJGEX,Yes,Yes
5129-JLPIS,Yes,Yes
3655-SNQYZ,Yes,Yes
8191-XWSZG,No internet service,No internet service
9959-WOFKT,Yes,Yes
4190-MFLUW,No,No
4183-MYFRB,No,Yes
8779-QRDMV,No,Yes
1680-VDCWW,No internet service,No internet service
1066-JKSGK,No internet service,No internet service
3638-WEABW,No,No
6322-HRPFA,No,No
6865-JZNKO,No,No
6467-CHFZW,Yes,Yes
8665-UTDHZ,No,No
5248-YGIJN,Yes,Yes
8773-HHUOZ,Yes,Yes
3841-NFECX,No,No
4929-XIHVW,Yes,Yes
6827-IEAUQ,No,No
7310-EGVHZ,No internet service,No internet service
3413-BMNZE,No,No
6234-RAAPL,Yes,No
6047-YHPVI,No,No
6572-ADKRS,No,No
5380-WJKOV,Yes,Yes
8168-UQWWF,Yes,Yes
8865-TNMNX,No,No
9489-DEDVP,Yes,No
9867-JCZSP,No internet service,No internet service
4671-VJLCL,Yes,No
4080-IIARD,Yes,No
3714-NTNFO,No,Yes
5948-UJZLF,No,No
7760-OYPDY,Yes,No
7639-LIAYI,Yes,Yes
2954-PIBKO,No,No
8012-SOUDQ,Yes,No
9420-LOJKX,Yes,Yes
6575-SUVOI,Yes,No
7495-OOKFY,No,No
4667-QONEA,No,Yes
1658-BYGOY,Yes,Yes
8769-KKTPH,Yes,Yes
5067-XJQFU,Yes,Yes
3957-SQXML,No internet service,No internet service
5954-BDFSG,Yes,Yes
0434-CSFON,Yes,Yes
1215-FIGMP,Yes,No
0526-SXDJP,No,No
0557-ASKVU,No,No
5698-BQJOH,Yes,Yes
5122-CYFXA,Yes,Yes
8627-ZYGSZ,No,No
3410-YOQBQ,Yes,Yes
3170-NMYVV,No internet service,No internet service
7410-OIEDU,No,No
2273-QCKXA,No,No
0731-EBJQB,No internet service,No internet service
1891-QRQSA,Yes,Yes
8028-PNXHQ,No internet service,No internet service
5630-AHZIL,No,Yes
2673-CXQEU,Yes,Yes
6416-JNVRK,No,Yes
5590-ZSKRV,No,No
0191-ZHSKZ,Yes,Yes
3887-PBQAO,No internet service,No internet service
5919-TMRGD,Yes,No
8108-UXRQN,Yes,Yes
9191-MYQKX,No,No
9919-YLNNG,Yes,Yes
0318-ZOPWS,No internet service,No internet service
4445-ZJNMU,Yes,Yes
4808-YNLEU,Yes,No
1862-QRWPE,No internet service,No internet service
2796-NNUFI,No internet service,No internet service
3016-KSVCP,Yes,No
4767-HZZHQ,No,No
2424-WVHPL,No,No
7233-PAHHL,Yes,Yes
6067-NGCEU,Yes,Yes
9848-JQJTX,Yes,Yes
8637-XJIVR,No,No
9803-FTJCG,No,No
0278-YXOOG,No internet service,No internet service
3212-KXOCR,No internet service,No internet service
4598-XLKNJ,Yes,Yes
6380-ARCEH,No internet service,No internet service
3679-XASPY,No internet service,No internet service
7123-WQUHX,Yes,No
5386-THSLQ,Yes,No
3192-NQECA,Yes,Yes
6180-YBIQI,No,No
6728-DKUCO,Yes,Yes
9750-BOOHV,No,No
8597-CWYHH,Yes,Yes
2848-YXSMW,No internet service,No internet service
0486-HECZI,Yes,No
4549-ZDQYY,No,No
5712-AHQNN,Yes,No
4846-WHAFZ,No,No
5256-SKJGO,Yes,Yes
3071-VBYPO,Yes,No
9560-BBZXK,No,No
5299-RULOA,Yes,Yes
8402-OOOHJ,No internet service,No internet service
9445-ZUEQE,No,No
1091-SOZGA,Yes,Yes
2928-HLDBA,No internet service,No internet service
0404-SWRVG,No,No
6497-TILVL,No,No
7219-TLZHO,No internet service,No internet service
4622-YNKIJ,Yes,No
4412-YLTKF,No,No
6734-PSBAW,No internet service,No internet service
3930-ZGWVE,No internet service,No internet service
2639-UGMAZ,Yes,Yes
2876-GZYZC,No,Yes
6207-WIOLX,Yes,Yes
8587-XYZSF,No,No
3091-FYHKI,No,Yes
2372-HWUHI,No,No
7799-LGRDP,No internet service,No internet service
7850-VWJUU,No,No
3774-VBNXY,No internet service,No internet service
6217-KDYWC,No internet service,No internet service
0390-DCFDQ,No,No
3146-MSEGF,Yes,Yes
4080-OGPJL,No,Yes
1095-WGNGG,Yes,Yes
2636-SJDOU,No,No
1131-QQZEB,No internet service,No internet service
5716-EZXZN,Yes,No
6837-BJYDQ,No internet service,No internet service
2135-RXIHG,No,No
6440-DKQGE,Yes,No
3466-BYAVD,No,Yes
3780-YVMFA,Yes,Yes
3874-EQOEP,Yes,Yes
1679-JRFBR,Yes,Yes
9073-ZZIAY,Yes,Yes
3077-RSNTJ,No internet service,No internet service
6551-GNYDG,No,Yes
9167-APMXZ,Yes,No
2749-CTKAJ,No internet service,No internet service
6371-NZYEG,Yes,No
7554-NEWDD,No internet service,No internet service
8992-VONJD,No,No
0867-MKZVY,No,No
4482-EWFMI,No,No
4648-YPBTM,No,Yes
2907-ILJBN,No internet service,No internet service
6345-FZOQH,No internet service,No internet service
3376-BMGFE,No,No
5997-OPVFA,Yes,Yes
3445-HXXGF,No,Yes
1159-WFSGR,No internet service,No internet service
7654-YWJUF,No,No
1875-QIVME,Yes,Yes
6727-IOTLZ,Yes,Yes
0691-JVSYA,Yes,Yes
5918-VUKWP,No internet service,No internet service
1744-JHKYS,No internet service,No internet service
2656-FMOKZ,No,No
2070-FNEXE,No,No
5947-SGKCL,Yes,Yes
3712-PKXZA,No internet service,No internet service
6317-YPKDH,No,No
6582-OIVSP,No,No
9367-WXLCH,No,Yes
5524-KHNJP,Yes,Yes
1918-ZBFQJ,No,No
1024-GUALD,No,No
4827-USJHP,No,No
8167-GJLRN,No,No
0956-SYCWG,No internet service,No internet service
8017-UVSZU,No,No
7100-FQPRV,No,Yes
2472-OVKUP,No,Yes
2984-RGEYA,No internet service,No internet service
9680-NIAUV,Yes,Yes
2146-EGVDT,No internet service,No internet service
2604-IJPDU,Yes,No
9178-JHUVJ,No internet service,No internet service
6168-YBYNP,Yes,Yes
7255-SSFBC,Yes,Yes
3645-DEYGF,No internet service,No internet service
9323-HGFWY,Yes,Yes
8544-GOQSH,No,No
3363-DTIVD,Yes,Yes
7018-WBJNK,Yes,No
9142-KZXOP,No,No
